Lasso,Regforest,SVR,Regforest 10k,Standardized Lasso,Standardized Regforest,Standardized SVR,Standardized Regforest 10k
0.019221686590041014,0.009803114523842003,0.019217164821148876,0.02073783820634551,0.011539949190504006,0.01099693405922375,0.021107713706550423,0.016078991959719437
0.02128920152829516,0.009053858280607521,0.0228268423050655,0.010577517516359436,0.012351191830792911,0.009383498174659916,0.01339439762572783,0.010281237279868306
0.017612614277977095,0.010526439044187604,0.0379211481687076,0.01791165526974573,0.011427028649803533,0.010982415279796378,0.015131701978816223,0.023804942353344054
0.012158692289073757,0.024404305167031855,0.012025389099803921,0.026186887541131423,0.016436655195329632,0.014693581092924103,0.020591563876383192,0.014306282242108453
0.017223567303736538,0.01080653791419202,0.017432394643577466,0.012866389245632498,0.013028023564240612,0.012039150250684506,0.012843581268180495,0.014100856892934019
0.01845589407540867,0.013187580811808451,0.017980119107954447,0.016631425265208666,0.015876648673420535,0.013058064612873678,0.019011070812114363,0.017588443520357162
0.012385626481015164,0.011677457730634517,0.015740348484090956,0.015119456648743514,0.012321239456143147,0.013188392109611318,0.022306764313751906,0.01474612849384339
0.027856898993621263,0.009061789722049426,0.024823417321456535,0.012236687716882227,0.026202327437843172,0.010483707328276078,0.020700373783825398,0.02092840158777236
0.011161082146088422,0.008144547881971609,0.014772121526735406,0.009954335471646439,0.011170118683446126,0.008972940857873177,0.0118928006984729,0.00984331880472951
0.01604145977649567,0.01739596964786748,0.019051468686172364,0.019391730031155074,0.012982559114212089,0.01692958402763973,0.011716929533085767,0.01847192957221999
0.01489741470076545,0.011793450370926484,0.02466551464999346,0.012505443777248732,0.012737502761355376,0.011744251685553743,0.0166476632164423,0.013044401142806944
0.023158462584506802,0.012714570074284792,0.02946295709128619,0.024619434959630208,0.015506176270588968,0.012649944520163079,0.03235746301140118,0.016892107519307233
0.01492825681158594,0.010921633962600949,0.016383777754551805,0.021356421603373584,0.014662206603997857,0.01145688552408723,0.016244332446490053,0.015114566960144158
0.02000837303780391,0.017244015812908735,0.01941429650105744,0.037486579228270964,0.018216234629808033,0.01660252482973518,0.05723847222284436,0.02263612078396211
0.01130889303270853,0.008047118549539701,0.011051113288113968,0.010077797058654641,0.0103452658805055,0.00849826698790676,0.00965033821243489,0.009804144935793676
0.02738270112646582,0.01248159902713981,0.03513716073236733,0.014417786429392586,0.02037794206343508,0.013500616519631518,0.02202368777866434,0.014958864772598706
0.012044600095864668,0.009021939472418444,0.010614180115369874,0.011432459342912819,0.012088273909690035,0.009275055205361775,0.011133726461565047,0.01139192475351897
0.015379532560162064,0.01257482829339393,0.01699231886654986,0.014450984366169619,0.01437123175200832,0.013102172224737512,0.01680318115696551,0.015104922380142712
0.02570127330692796,0.014695069993211907,0.026202644747244548,0.01769064738592508,0.019508289793293745,0.014272980173853766,0.02152528680192156,0.013971691013803012
0.015551698957318562,0.012037624366041413,0.017584789121577377,0.012475446493571163,0.014000374342338154,0.013908417327666026,0.016460958289346583,0.017171981836392874
0.012981222556256711,0.009536026956929376,0.010950882401680776,0.010359223508923428,0.010544513301415962,0.009934477049371533,0.010895972979899752,0.010423596721666237
0.015009382993674289,0.01205091249572159,0.013922910341993184,0.01206637145235293,0.013970767569906065,0.013532145431908803,0.01601455386304261,0.011812898911840296
0.013690686747521117,0.010135385164479477,0.015158289156278874,0.012353853825011595,0.013248864170927594,0.009952871478519951,0.018578540339292952,0.012734490745323741
0.03941956081832141,0.019518834828333664,0.0398350275901503,0.022619005505507803,0.022535941621578646,0.013566384763994188,0.03712201994415062,0.014979444326913123
0.025302198408566793,0.011678865885586368,0.019727735648391306,0.030657947099619488,0.02193985024490725,0.02009986897571593,0.023616108990572288,0.018946392217753714
0.02284567797568997,0.011786352676337734,0.014766872503146792,0.013024246794944561,0.012637070607756866,0.012529277301767203,0.013228317610485197,0.013506326936574685
0.013942499701368703,0.013385906301367715,0.014990286892345408,0.01828982194510914,0.012778103835847588,0.013447578788096812,0.022345288048443414,0.021299884391660247
